Sheet Name	ObjectID	Object Name	Location	Expression
Debug	CH02	Debug	Chart Main Expression	=sum(SalesAmount)
Debug	CH04	Budget and Sales	Chart Main Expression	=sum(Targets)
Debug	CH04	Budget and Sales	Chart Main Expression	=sum( SalesAmount)
Debug	CH04	Budget and Sales	Chart Main Expression	=sum( SalesAmount)
Sales & Budget Analysis	CH05	Sales and Budgets	Chart Main Expression	=sum(Targets)
Sales & Budget Analysis	CH05	Sales and Budgets	Chart Main Expression	=sum(SalesAmount)
Sales & Budget Analysis	CH05	Sales and Budgets	Chart Main Expression	=sum(SalesAmount)
Debug	CH06	ddd	Chart Main Expression	=sum(SalesAmount)
Debug	CH06	ddd	Chart Main Expression	=sum(Targets)
Debug	CH06	ddd	Chart Main Expression	=sum(SalesAmount) / sum( Targets) 
Sales & Budget Analysis	CH07	Sales Trends	Chart Main Expression	=sum(SalesAmount)
Sales & Budget Analysis	CH07	Sales Trends	Chart Main Expression	=sum(Targets)
Sales & Budget Analysis	CH07	Sales Trends	Chart Main Expression	=sum(SalesAmount) / sum(Targets)
Debug	CH101	Categ/SubCateg/Prod Ranking of sales	Chart Main Expression	=rank(sum(UnitCost * UnitsBalance))
 
 //Avg(Aggr(Sum(UnitSales*UnitPrice), Customer))
Debug	CH101	Categ/SubCateg/Prod Ranking of sales	Chart Main Expression	=sum(UnitCost * UnitsBalance)
Stock Performance	CH105	Categ/SubCateg/Product SOH $ Value Ranking	Chart Main Expression	=rank(sum(UnitCost * UnitsBalance))
Stock Performance	CH105	Categ/SubCateg/Product SOH $ Value Ranking	Chart Main Expression	=sum(UnitCost * UnitsBalance)
Stock Performance	CH106	Stock Product Analysis	Chart Main Expression	=sum(UnitCost * UnitsBalance)
Stock Performance	CH106	Stock Product Analysis	Chart Main Expression	=sum(UnitsBalance)
Business Analysis	CH108	Categ/SubCateg/Product Sales $ Value Ranking	Chart Main Expression	=rank(sum(SalesAmount),0,1)
Business Analysis	CH108	Categ/SubCateg/Product Sales $ Value Ranking	Chart Main Expression	=sum(SalesAmount)
Sales Comparative Analysis	CH116	Region Sales Performance (Top 20 Comparison)	Chart Main Expression	=sum( {Alpha<CountryRegionName=Common::CountryRegionName>} SalesAmount)
Sales Comparative Analysis	CH119	State/Province Sales Performance (Top 20 Comparison)	Chart Main Expression	=sum({Alpha<CountryRegionName=Common::CountryRegionName,StateProvinceName=Common::StateProvinceName> } SalesAmount)
Sales Comparative Analysis	CH121	Region Sales Performance (Top 20 Comparison) : alternate state used Bravo	Chart Main Expression	=sum( {Bravo<CountryRegionName=Common::CountryRegionName>}  SalesAmount)
Sales Comparative Analysis	CH123	State/Province Sales Performance (Top 20 Products Comparison)	Chart Main Expression	=sum({Alpha<CountryRegionName=Common::CountryRegionName,StateProvinceName=Common::StateProvinceName> } SalesAmount)
Sales Comparative Analysis	CH125	State/Province Sales Performance (Top 20 Comparison)	Chart Main Expression	=sum({Bravo<CountryRegionName=Common::CountryRegionName,StateProvinceName=Common::StateProvinceName> } SalesAmount)
Sales Comparative Analysis	CH126	State/Province Sales Performance (Top 20 Products Comparison)	Chart Main Expression	=sum({Bravo<CountryRegionName=Common::CountryRegionName,StateProvinceName=Common::StateProvinceName> } SalesAmount)
Business Analysis	CH128	Multi Sales Analysis Excl. Freight	Chart Main Expression	=sum(SalesAmount)  
                                                                        

Business Analysis	CH128	Multi Sales Analysis Excl. Freight	Chart Main Expression	=sum(SalesAmount + Freight)  
                                                                        

Business Analysis	CH128	Multi Sales Analysis Excl. Freight	Chart Main Expression	=if($(vShowSalesFreightCalc),sum(SalesAmount + Freight),sum(SalesAmount))
                                                                        

Crosstab	CH130	Traffic	Chart Main Expression	=sum(Traffic)
Overview	CH134	Sales Trends	Chart Main Expression	=sum(SalesAmount)
Overview	CH134	Sales Trends	Chart Main Expression	=sum(Targets)
Overview	CH134	Sales Trends	Chart Main Expression	=sum(SalesAmount) / sum(Targets)
Overview	CH136	Pricing Impact on Sales - What If 	Chart Main Expression	=sum(SalesAmount)
Overview	CH136	Pricing Impact on Sales - What If 	Chart Main Expression	=sum(SalesAmount) + ($(vProductPriceCoefficient) * sum(SalesAmount)) 
Overview	CH136	Pricing Impact on Sales - What If 	Chart Main Expression	=($(vProductPriceCoefficient) * sum(SalesAmount)) 
Overview	CH137	Categ/SubCateg/Product Sales $ Value Ranking	Chart Main Expression	=rank(sum(SalesAmount),0,1)
Overview	CH137	Categ/SubCateg/Product Sales $ Value Ranking	Chart Main Expression	=sum(SalesAmount)
Overview	CH138	Categ/SubCateg/Product Sales $ Value Ranking	Chart Main Expression	=rank(sum(SalesAmount),0,1)
Overview	CH138	Categ/SubCateg/Product Sales $ Value Ranking	Chart Main Expression	=sum(SalesAmount)
Overview	CH139	Females	Chart Main Expression	=-1 * count(distinct if(Gender='F', CustomerKey))
Overview	CH139	Females	Chart Main Expression	=count(distinct if(Gender='F', CustomerKey))
Overview	CH139	Females	Chart Main Expression	=maxstring(YearlyIncomeGroup)
Overview	CH140	Males	Chart Main Expression	=count(distinct if(Gender='M', CustomerKey))
Overview	CH141	SOH$ Special Analysis (Computers and A* Suppliers)	Chart Main Expression	=sum(UnitCost * UnitsBalance)
Overview	CH143	% Of Target	Chart Main Expression	=sum(SalesAmount) / sum(Targets)
